| Arm | Runs | Solvable | Refusals strict → adjudicated | Refused a solvable | Median s / attempt | Tool errors | Repeated calls | Peak prompt tokens | Reasoning chars / attempt |
|---|---|---|---|---|---|---|---|---|---|
| 1 Pi + 27B 64K medium | 3 | 42/48 | 7 → 12 /12 | 1 | 17.5 | 20 | 5 | 19,244 | 5,937 |
| 2 Goose + 27B | 3 | 40/48 | 8 → 12 /12 | 0 | 33.1 | unknown | unknown | unknown | 11,931 |
| 3 OpenCode + 27B | 3 | 43/48 | 8 → 12 /12 | 0 | 21.4 | 0 | 4 | 15,811 | 8,532 |
| 4 Pi + Coder-30B | 3 | 14/48 | 1 → 4 /12 | 12 | 15.0 | 102 | 101 | 16,852 | 0 |
| 8 Pi + 27B Q8 24K | 3 | 42/48 | 6 → 12 /12 | 0 | 42.0 | 20 | 5 | 11,815 | 3,957 |
| 9 Pi + 27B Q4 24K | 3 | 44/48 | 6 → 12 /12 | 0 | 18.1 | 25 | 3 | 17,151 | 4,693 |
| 5 KV-cache q4_0 24K | 2 | 29/32 | 5 → 6 /8 | 0 | 18.8 | 24 | 1 | 13,945 | 6,058 |
| 6 thinking low | 2 | 28/32 | 2 → 4 /8 | 0 | 36.3 | 13 | 11 | 18,337 | 14,969 |
| 7 thinking high | 2 | 31/32 | 5 → 8 /8 | 0 | 44.5 | 31 | 11 | 42,503 | 18,150 |
| A anchors (Pi + 27B) | 3 | 9/9 | — | 0 | 44.9 | 22 | 4 | 33,219 | 19,026 |
| 10 Claude Code + Opus 5.5 | 1 | 15/16 | 2 → 4 /4 | 0 | 14.9 | — | — | — | — |
| 10A anchors (Claude Code) | 1 | 3/3 | — | 0 | 27.0 | — | — | — | — |

Medians are statistics.median over every attempt (failed attempts included).
